subject,best_win_idx,t0,t1,accuracy
subject 01,29,19,22,0.6
subject 02,17,7,10,0.7
subject 03,18,8,11,0.65
subject 04,22,12,15,0.7166666666666667
subject 05,31,21,24,0.6166666666666667
subject 06,26,16,19,0.6333333333333333
subject 07,2,-8,-5,0.7166666666666667
subject 08,15,5,8,0.6333333333333333
subject 09,3,-7,-4,0.6166666666666667
subject 10,26,16,19,0.6666666666666666
subject 11,5,-5,-2,0.7
subject 12,5,-5,-2,0.6833333333333333
subject 13,26,16,19,0.6833333333333333
subject 14,22,12,15,0.6333333333333333
subject 15,12,2,5,0.7166666666666667
subject 16,28,18,21,0.7333333333333333
subject 17,9,-1,2,0.7
subject 18,25,15,18,0.5666666666666667
subject 19,13,3,6,0.7666666666666667
subject 20,23,13,16,0.6666666666666666
subject 21,8,-2,1,0.5666666666666667
subject 22,0,-10,-7,0.6333333333333333
subject 23,20,10,13,0.6333333333333333
subject 24,27,17,20,0.7666666666666667
subject 25,12,2,5,0.8166666666666667
subject 26,14,4,7,0.75
subject 27,8,-2,1,0.6833333333333333
subject 28,24,14,17,0.65
